,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2zzLRQ78kKfPTx8FJQCdC2,When The Sun Goes Down,Arctic Monkeys,73,2006-01-29,0.348,0.875,11,-4.758,0,0.0341,0.0,0.117,0.407,169.152,202133,4
1,19503qDaxgCdPL2BhJngij,Apply Some Pressure,Maximo Park,57,2005-05-16,0.378,0.953,9,-3.632,1,0.000719,2.89e-05,0.0936,0.512,167.808,200347,4
2,6U5hUX40OWY6l0HaPUWElZ,Banquet,Bloc Party,59,2005-01-01,0.591,0.939,10,-4.911,0,0.000156,0.0111,0.0882,0.856,150.249,200400,4
3,3M0YwlWNPX8cfWQjYsXTpu,Don't Look Back into the Sun,The Libertines,0,2007-10-29,0.237,0.842,0,-4.05,0,0.00561,0.000882,0.294,0.602,89.744,178267,4
4,5xoUgPXbMNUmoHU0Enwtwq,She Moves In Her Own Way,The Kooks,71,2006-01-01,0.41,0.803,7,-5.363,1,0.239,0.0,0.103,0.814,153.315,169307,4
5,7v9Ne4758aGFfFc5avh89h,Let's Dance to Joy Division,The Wombats,65,2007-11-05,0.397,0.839,4,-6.674,1,0.00125,0.0,0.576,0.764,116.947,191293,4
6,0LAfANg75hYiV1IAEP3vY6,Take Your Mama,Scissor Sisters,55,2004-01-01,0.757,0.957,8,-4.617,1,0.209,2.29e-05,0.0624,0.933,153.944,271907,4
7,7kzKAuUzOITUauHAhoMoxA,Last Nite,The Strokes,74,2001-07-30,0.624,0.91,0,-5.703,1,0.0285,0.000198,0.0789,0.767,104.042,193051,4
8,5dKBaysNJtfpyNTRa5lqDb,A-Punk,Vampire Weekend,3,2008-01-27,0.551,0.821,2,-4.489,1,0.0102,0.0438,0.153,0.842,174.923,137760,4
9,3DQVgcqaP3iSMbaKsd57l5,I Bet You Look Good On The Dancefloor,Arctic Monkeys,73,2006-01-29,0.535,0.948,6,-4.19,0,0.00225,0.0,0.376,0.778,103.183,173680,4
10,7BHPGtpuuWWsvE7cCaMuEU,Naive,The Kooks,74,2006-01-01,0.391,0.808,8,-6.209,0,0.0759,0.0,0.149,0.737,100.304,203507,4
11,6IIjmqaDdO6vdEBasXsCve,Sweet Disposition,The Temper Trap,0,2009-08-02,0.531,0.805,2,-7.127,1,0.0783,0.0926,0.116,0.349,129.107,234680,4
12,3Ehxf88npHMLIBEIM7Klus,Dog Days Are Over,Florence + The Machine,42,2009-01-01,0.499,0.795,7,-5.285,1,0.0438,0.00255,0.12,0.357,149.966,252853,4
13,697LWfA49GjDHL7utykini,Rebellion (Lies),Arcade Fire,0,2005-02-28,0.4,0.934,8,-5.696,1,0.00787,0.513,0.338,0.731,127.09,310893,4
14,56NkIxSZZiMpFP5ZNSxtnT,Someday,The Strokes,68,2001-07-30,0.542,0.531,9,-7.481,1,0.0033,1.51e-06,0.338,0.671,105.97,183391,4
15,5K8XZSzgZvibEVUb9PY3AF,All My Friends - Edit,LCD Soundsystem,40,2007-05-18,0.675,0.92,9,-3.823,1,0.0818,0.432,0.14,0.936,142.599,366841,4
16,4dVYM5ds4vC3HNzcBpExUD,Dreaming of You,The Coral,0,2002-07-22,0.441,0.684,9,-7.495,0,0.374,0.000848,0.108,0.971,199.001,141000,4
17,20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,79,2004-02-16,0.277,0.663,4,-8.821,0,0.000409,0.00051,0.136,0.527,104.561,237027,4
18,75ARkUKb54dQ86YezuoNhn,Hate To Say I Told You So,The Hives,0,2000,0.447,0.9,5,-6.741,1,0.00114,0.00596,0.47,0.39,135.861,199733,4
19,7mAF2MJdbNT75VrVcgwT6F,Hounds of Love,The Futureheads,55,2004-06-28,0.36,0.895,9,-3.795,1,0.0329,1.18e-06,0.06,0.424,168.214,182680,4
20,5n0zgoPE7NJq1E8mbQd4Q6,Molly's Chambers,Kings of Leon,0,2003-08-19,0.596,0.899,11,-3.967,1,0.232,3.98e-06,0.212,0.939,146.448,134907,4
21,5NtoPBmhY7WGdpsHmpy9Xh,Always Like This,Bombay Bicycle Club,0,2009-01-01,0.659,0.591,1,-6.713,1,0.441,0.000861,0.0862,0.707,121.14,245640,4
22,5PZK7nZBsKjSkXDszKrJ1W,Hard to Beat,Hard-FI,58,2005-06-27,0.557,0.833,10,-4.559,1,0.00226,3.25e-06,0.161,0.815,125.205,253307,4
23,2f14Vwn28w1soYnolluueL,Young Folks,Peter Bjorn and John,0,2007-10-19,0.672,0.857,0,-4.915,1,0.0128,0.0009,0.16,0.685,138.153,278720,4
24,0yEhNqCwEfy8LHUmnZoHpP,Bohemian Like You,The Dandy Warhols,70,2000-01-01,0.584,0.931,9,-6.158,1,0.00315,0.772,0.133,0.694,131.275,211707,4
25,5gCMW3tfzuXZfLATnH01Vh,Men's Needs,The Cribs,0,2007-01-01,0.546,0.947,1,-2.29,0,0.000128,7.37e-05,0.065,0.795,121.976,195960,4
