,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2ejDfrNxybmXJi4jf2Wt11,By The Way,Red Hot Chili Peppers,0,2002-07-09,0.451,0.97,0,-4.938,1,0.0264,0.00355,0.102,0.198,122.444,216933,4
1,74EV0g12ihUoOUXMprFpZB,Losing My Religion,R.E.M.,0,1991-01-01,0.672,0.841,9,-5.992,0,0.0767,0.0,0.135,0.82,125.437,267733,4
2,7HKez549fwJQDzx3zLjHKC,Start Me Up - Remastered 2009,The Rolling Stones,76,1981-08-24,0.631,0.932,5,-4.142,1,0.0436,0.137,0.0918,0.971,122.429,213067,4
3,0OBwxFLu6Yj61s2OagYbgY,Gimme All Your Lovin',ZZ Top,70,1983-03-23,0.63,0.788,5,-6.7,1,0.00322,0.0237,0.0883,0.63,120.059,241080,4
4,4hy4fb5D1KL50b3sng9cjw,Smells Like Teen Spirit,Nirvana,0,2002-01-01,0.48,0.875,1,-5.898,1,1.62e-05,0.000751,0.103,0.826,116.754,300827,4
5,0oWHLtxWeMJhmwxtrxhNK0,Welcome To The Jungle,Guns N' Roses,0,1987-07-21,0.443,0.955,8,-8.066,1,0.0222,0.361,0.297,0.333,123.423,273600,4
6,2Ck23L2znrPAFiyopqzWUj,Do You Remember Rock 'n' Roll Radio? - 2002 Remaster,Ramones,49,1980-02-04,0.302,0.961,7,-5.619,1,0.445,0.00268,0.823,0.659,152.366,229467,4
7,6ZAwEE4kTdtvyE66iRhFxR,Real Wild Child (Wild One),Iggy Pop,62,1986-10-27,0.59,0.851,4,-11.754,1,0.0174,0.0975,0.154,0.968,146.213,218307,4
8,15e3sz0HdP1TXxSdZV7bQc,Louie Louie,Iggy Pop,37,1993-01-01,0.376,0.95,3,-5.917,1,0.0238,0.0,0.303,0.661,117.225,228467,4
9,225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,74,1998-06-23,0.383,0.662,2,-5.162,1,0.165,0.0,0.248,0.138,121.154,298760,4
10,4SGrS8P9OyWZk3zPmgnzQz,Tush - 2012 Collection Remaster,ZZ Top,29,2012-11-16,0.517,0.917,0,-6.519,1,0.12,0.0389,0.178,0.762,145.614,135667,4
11,4DRBaZ760gyk7LWnaJFqsJ,I Want To Hold Your Hand - Remastered 2015,The Beatles,0,2000-11-13,0.49,0.715,7,-5.549,1,0.386,0.0,0.311,0.866,130.726,145747,4
12,0I0dpKz41CFw9G9yRT2Dik,Nellie the Elephant - 1984 Version,Toy Dolls,40,1985-04-01,0.562,0.584,0,-8.239,1,0.273,3.06e-05,0.694,0.277,76.725,180000,4
13,275KAjHjZOtnTVWZ2Kcr7k,Walking On The Moon,The Police,0,2002-01-01,0.658,0.355,2,-13.634,0,0.00638,0.00598,0.228,0.417,145.928,301813,4
14,6qpN7PrkVsP3N3xO7WlCaw,Self Esteem,The Offspring,0,1994-04-08,0.488,0.862,0,-7.595,1,0.0204,0.0,0.359,0.706,104.56,257827,4
15,4JErskWxmILvav6U2PkTbn,What I've Done,Linkin Park,38,2007-04-06,0.623,0.93,5,-5.285,1,0.0141,1.64e-06,0.138,0.287,120.119,205613,4
16,2T3blUc9Jnui2a0ZhuNOag,Smooth Criminal,Alien Ant Farm,0,2001-01-01,0.653,0.966,9,-4.236,0,0.00287,0.0026,0.143,0.874,126.921,209267,4
17,4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,77,1978-10-10,0.473,0.898,6,-4.797,0,0.00783,0.0618,0.173,0.808,96.556,235547,4
18,6bGfLXep8L61VFcIHDCRb0,Another One Bites The Dust,Queen,0,1980-06-27,0.933,0.463,5,-9.338,0,0.0938,0.28,0.121,0.765,109.886,218200,4
19,2vX5WL7s6UdeQyweZEx7PP,Walk This Way,Aerosmith,2,1980-11-11,0.629,0.785,5,-10.761,1,0.0249,9.45e-06,0.0522,0.869,108.531,211027,4
20,0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Kings of Leon,81,2008-09-23,0.542,0.905,9,-5.653,1,0.00172,0.0104,0.136,0.374,153.398,203347,4
21,26g8bCaVhcv0KkBi5SlEg7,Don't Leave Me This Way (with Sarah Jane Morris),Sarah Jane Morris,0,1997,0.654,0.915,3,-6.254,1,0.218,0.0,0.11,0.916,131.942,260947,4
22,6u0x5ad9ewHvs3z6u9Oe3c,Under Cover of Darkness,The Strokes,68,2011-03-21,0.35,0.775,11,-3.364,1,0.00433,0.283,0.0676,0.588,199.866,235547,4
