,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4079,6ebxt3Iylxe0GcEuUGlIvb,Dreaming of You,The Coral,66,2002-02-26,0.441,0.684,9,-7.495,0,0.374,0.000848,0.108,0.971,199.001,141000,4
4080,04UX2gzcAH99LZgzGxmHZG,Sleep Alone,Two Door Cinema Club,0,2012-09-04,0.534,0.755,0,-4.943,1,0.000102,0.00226,0.0927,0.519,148.008,236440,4
4081,6A6SCjDNmjbvRrOCEygBz6,We Used To Be In Love - Remastered,Clean Cut Kid,15,2017-05-05,0.576,0.894,11,-4.645,1,0.000833,0.00408,0.115,0.492,120.967,194173,4
4082,2jZgzSxNSg1hTCq0ewWHGJ,Junk Of The Heart (Happy),The Kooks,65,2011-01-01,0.604,0.894,2,-5.0,1,0.0212,0.0,0.0299,0.901,145.017,187253,4
4083,75Yk49XdJqVAI2zfHCKZ1m,Chasing Shadows,The Sherlocks,0,2017-04-27,0.282,0.917,1,-5.033,1,0.00023,0.0,0.228,0.621,169.953,228773,4
4084,5kxVyCgEUND7E2QKG7JmoF,Teddy Picker,Arctic Monkeys,66,2007-04-22,0.637,0.963,9,-5.116,1,0.000286,0.000889,0.0449,0.823,150.1,165000,4
4085,4ulyMmII2sodFnQXeRF6DF,Emoticons,The Wombats,44,2015-04-07,0.61,0.708,11,-4.3,0,0.0095,3.14e-05,0.116,0.508,101.003,259347,4
4086,0LtOwyZoSNZKJWHqjzADpW,Feels Like We Only Go Backwards,Tame Impala,75,2012-01-01,0.303,0.9,2,-2.352,0,0.0277,0.635,0.11,0.491,149.508,192960,4
4087,7K358JsMSg1vNu25OMoybP,No One Will Ever Replace Us,Courteeners,0,2016-10-28,0.735,0.602,6,-5.858,0,0.00156,2.33e-05,0.2,0.896,130.014,234435,4
4088,3zlPcRDczzSso0BvpWh6h4,Let's Pray,Blaenavon,0,2017-04-07,0.479,0.69,7,-8.283,1,0.257,0.0142,0.0767,0.537,158.753,215240,4
4089,55IXAAiWMlULBXElaxo7KZ,Half The World Away - Remastered,Oasis,0,1994-08-29,0.433,0.458,0,-8.666,1,0.305,0.0,0.0863,0.23,115.214,267333,4
4090,7uNjsD1E4pEtu8PeB7yHyV,REVOLUTION,RAT BOY,1,2017-03-28,0.391,0.963,1,-2.825,0,0.000668,0.0,0.177,0.743,179.964,208507,4
4091,5iPVel3yjTBRAfow3FcjXu,She's American,The 1975,0,2016-03-11,0.639,0.859,1,-3.923,1,0.18,0.000499,0.0798,0.523,115.97,270104,4
4092,6vHdbCBlZNjhIvwZ7eCPq7,Always Where I Need To Be,The Kooks,38,2008-01-01,0.331,0.961,11,-4.627,1,0.000146,0.0,0.322,0.882,168.355,161720,4
4093,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,73,2013-09-09,0.728,0.638,5,-6.455,0,0.249,0.0,0.116,0.872,130.014,193030,4
4094,1uqU0nq6DCbJMktSlUvQV8,Trip Switch,Nothing But Thieves,56,2015-10-16,0.615,0.798,10,-4.163,0,0.0188,0.0081,0.0995,0.753,88.465,181133,4
4095,588sjRCojqQ2eXp3MgBYBT,Strange Clothes - EP Version,The Night Café,31,2017-03-10,0.404,0.898,3,-3.583,1,0.000521,0.317,0.231,0.519,148.862,220760,4
4096,2QqfM19xb0tcmf9gOONcW7,Pink Lemonade,The Wombats,49,2015-04-07,0.56,0.956,0,-4.366,1,0.00406,1.55e-06,0.358,0.821,143.993,226107,4
4097,6Na5uKk5SsqZimk0hAWo8y,Signs,Drake,67,2017-06-23,0.794,0.735,0,-4.204,1,0.108,0.00578,0.112,0.223,107.374,234373,4
4098,2kHdu1N31NkD5roBf1EHh7,F With U (feat. Ty Dolla $ign) (feat. Ty Dolla $ign),Ty Dolla $ign,41,2017-04-07,0.54,0.52,5,-7.193,0,0.363,0.0,0.337,0.603,98.162,179109,4
