,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,Led Zeppelin,73,1971-11-08,0.437,0.864,4,-7.842,0,0.396,0.0314,0.242,0.749,81.394,295387,4
1,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,84,1980-07-25,0.31,0.7,9,-5.678,1,0.011,0.00965,0.0828,0.763,188.386,255493,4
2,6fybp4N6eW3bsFAvARxyVe,Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen,66,1978-02-10,0.518,0.938,8,-5.964,0,0.021,0.000305,0.288,0.71,139.138,227800,4
3,6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,71,1967-01-04,0.421,0.751,9,-9.584,1,0.2,0.0,0.17,0.789,89.839,145867,4
4,26fZwf1ImE4aUJ4XaqOkUg,No One Like You,Scorpions,65,1982-04-10,0.505,0.631,9,-10.433,0,0.0203,2.21e-05,0.141,0.835,118.178,237467,4
5,0YpmF3aZXOIuyi8itZbpkp,The Zoo,Scorpions,54,1980-03-31,0.462,0.704,0,-10.177,1,0.056,0.184,0.371,0.221,103.004,330533,4
6,0XIvZ82aDF7JiSi3ZE320u,Rock You Like A Hurricane,Scorpions,0,1984-05-04,0.482,0.601,7,-12.846,1,0.00853,0.000187,0.249,0.774,125.619,252493,4
7,78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,Led Zeppelin,77,1970,0.564,0.932,11,-10.068,1,0.013,0.169,0.349,0.619,112.937,146250,4
8,2fY6tqgrlrg1ky9fgs0t5u,Wanted Dead Or Alive,Bon Jovi,0,1986-01-01,0.257,0.803,7,-3.886,1,0.137,0.0156,0.297,0.294,150.818,308667,4
9,1a2iF9XymafjRk56q7oCxo,Pride and Joy,Stevie Ray Vaughan,66,1983,0.427,0.626,8,-11.821,1,0.0274,0.00395,0.106,0.743,126.877,219587,4
10,2jz6rWGqVCYsymwxGoaON4,Detroit Rock City,KISS,63,1978-01-01,0.546,0.9,5,-6.728,1,0.0421,4.57e-05,0.292,0.447,90.591,215933,4
11,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,83,1976-12-08,0.579,0.508,2,-9.484,1,0.00574,0.000494,0.0575,0.609,147.125,391376,4
12,5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith,79,1973-01-05,0.307,0.433,1,-10.057,1,0.388,9.08e-05,0.332,0.224,160.9,266960,4
13,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,84,2013-09-09,0.548,0.532,5,-7.596,1,0.186,0.000263,0.217,0.405,85.03,272394,4
14,0RdUX4WE0fO30VnlUbDVL6,Still Loving You,Scorpions,73,2011-11-04,0.282,0.605,6,-4.916,0,0.0047,0.00144,0.103,0.0783,103.929,403453,4
15,4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,77,1978-10-10,0.473,0.898,6,-4.797,0,0.00783,0.0618,0.173,0.808,96.556,235547,4
16,3IOQZRcEkplCXg6LofKqE9,Iron Man - 2012 - Remaster,Black Sabbath,65,1970-09-18,0.336,0.792,9,-10.875,1,0.00351,0.00175,0.0437,0.427,155.587,355304,4
17,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,The Doors,73,1971-04-19,0.55,0.722,11,-11.729,0,0.25,0.0129,0.11,0.716,103.886,434720,4
18,69QHm3pustz01CJRwdo20z,Hells Bells,AC/DC,74,1980-07-25,0.389,0.873,4,-4.768,0,0.00532,0.0055,0.273,0.303,106.767,312293,4
19,0LN5gIsS5tQSmRzQrHSaTR,Eminence Front,The Who,58,1982-09-04,0.697,0.787,5,-9.695,0,0.232,0.587,0.0404,0.572,98.066,339107,4
20,2CJ9wTckMqRjjVVSLTs8QZ,God Of Thunder,KISS,50,1976-03-15,0.414,0.878,11,-6.157,1,0.272,0.000332,0.456,0.438,99.804,253840,4
21,2kkvB3RNRzwjFdGhaUA0tz,Layla,Derek & The Dominos,75,1970-11-01,0.404,0.902,1,-3.88,1,0.577,0.297,0.287,0.497,115.669,423840,4
22,0SPBrxOUEMIKugXR4bFhxs,Love Gun,KISS,61,1977-06-30,0.409,0.868,3,-6.236,0,0.0266,0.0357,0.276,0.704,147.211,198707,4
23,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,81,1969-11-02,0.64,0.663,0,-7.516,1,0.201,0.00806,0.152,0.663,132.77,140773,4
24,1Y373MqadDRtclJNdnUXVc,Paranoid - 2012 - Remaster,Black Sabbath,70,1970-09-18,0.412,0.658,4,-12.051,0,4.52e-05,0.000774,0.176,0.454,163.071,168406,4
