,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1RjEEBbM9Lf4G4sRYFMeXE,Trick By Trick,ÄTNA,41,2021-11-19,0.718,0.575,0,-6.712,0,0.225,0.0,0.0733,0.749,94.124,168400,4
1,3Gplr4iOpewQ9ynbZujzlu,Dizzy (feat. Thomas Headon and Alfie Templeman),Alfie Templeman,58,2021-11-19,0.707,0.735,1,-5.237,1,0.00896,4.78e-05,0.0433,0.762,129.965,158240,4
2,43x8gg4AnsyCO5pWmWed1J,IDC,carpetgarden,49,2021-11-16,0.589,0.596,3,-5.914,1,0.17,2.27e-06,0.213,0.71,108.49,225018,4
3,61ABw8WyuH27wUEy8guaNh,Similar,Cassia,40,2021-11-17,0.766,0.594,1,-7.676,0,0.307,0.0,0.0865,0.414,89.962,194389,4
4,6KTemd2aIQR4AuOjOoyDvk,Moderation,Cate Le Bon,41,2021-11-17,0.653,0.499,2,-7.56,1,0.705,0.0971,0.149,0.477,112.984,244576,4
5,4yh6EBN3znQleMs93ZnWbU,My Love,Ladyhawke,42,2021-11-16,0.739,0.632,5,-4.895,1,0.0219,0.00664,0.102,0.725,113.004,209107,4
6,3ZH7PRzRKfcYxU9aNQ6p3S,Everything I Love Is Going To Die,The Wombats,42,2021-11-16,0.638,0.764,11,-4.788,1,0.00128,1.3e-06,0.29,0.876,105.03,200160,4
7,2JTzcMcIs30M4Cp6vDXXnk,Wild At Heart,BILBAO,29,2021-11-19,0.433,0.888,3,-4.622,1,0.00388,0.000549,0.0992,0.314,151.866,196093,4
8,2OmxtFDC3E0AYNr3Rixnx4,Feel - with Kyson,Kyson,37,2021-11-16,0.425,0.238,4,-14.546,0,0.906,0.028,0.12,0.208,171.905,240000,4
9,3svVB5h2BhRyvDqTDKYAFk,So Slowly,Beirut,53,2021-11-17,0.666,0.693,10,-7.915,1,0.444,0.412,0.106,0.881,90.004,180720,4
10,37dpyJsBy1bIGJNrztzr6S,Baby,Jesper Munk,39,2021-11-19,0.677,0.45,1,-11.222,1,0.78,0.0205,0.134,0.574,86.898,271983,4
11,0E8AwzHkpQJmyoXgVexcTW,Time Escaping,Big Thief,54,2021-11-16,0.672,0.875,10,-6.022,0,0.751,0.000209,0.162,0.905,157.692,228522,4
12,5xRSopMMgiUb0BkotxARkq,I Let You Go,narou,35,2021-11-19,0.363,0.248,11,-13.338,1,0.963,0.000151,0.0834,0.112,78.352,179507,4
13,4X2OQ6vP42YYnkrLdk2RZ8,The Fantasy Life Of Poetry & Crime,Frédéric Lo,38,2021-11-19,0.65,0.613,10,-6.821,0,0.264,0.00865,0.133,0.451,126.006,222347,4
14,3MnfasLZZPbuzowQtifkcQ,Clocks,Mar Malade,32,2021-11-19,0.828,0.547,5,-9.741,1,0.802,0.0818,0.175,0.927,126.04,197576,4
15,0szIXYe2JiSuNHLWkh5cAP,A.M. RADIO,The Lumineers,58,2021-11-17,0.469,0.562,1,-6.402,1,0.568,0.000135,0.123,0.483,138.197,237320,4
16,1BOabedVD9kbuN8OiAHtkS,Hometown,Sea Girls,46,2021-11-18,0.463,0.888,0,-2.722,1,0.000303,3.39e-06,0.094,0.312,140.018,231267,4
17,6OOkbVOvc8umM48aIEA3aK,Hole,Yot Club,45,2021-11-19,0.675,0.759,0,-7.655,1,0.0742,0.743,0.229,0.761,153.826,174862,4
18,2Fha18rqPDJlN4FDcsZdpj,Frequency,KOKA,31,2021-11-19,0.612,0.651,2,-6.991,0,0.496,7.77e-05,0.0736,0.2,127.999,196600,4
19,0B5OlNsn2wbSMFd8hmLSZ7,What Lovers Do,Joy Again,44,2021-11-19,0.529,0.208,9,-7.339,0,0.476,0.0,0.102,0.395,81.914,214810,4
20,2Tdkz4mLxN8szqcMeNWcI8,mememe,100 gecs,64,2021-11-19,0.459,0.746,5,-2.881,0,0.0114,0.0,0.2,0.627,151.535,166004,4
21,0x1Yrpci5zvhQvpqkf2kXh,Fade Away,Hanreti,22,2021-11-17,0.536,0.708,2,-10.347,1,0.313,0.887,0.0989,0.333,176.205,353880,4
22,4y0qR20cm434mk2Pon0Jid,Devl Eyes,Bye Beneco,23,2021-11-18,0.527,0.653,0,-6.898,1,0.0683,4e-05,0.113,0.194,105.997,211762,4
23,3tqK6YHgrDS0x8gyfQYDng,Good Like This,KAWALA,43,2021-11-18,0.62,0.558,11,-10.39,1,0.56,0.192,0.105,0.283,98.975,219440,4
24,12E7bqGAKIVLmx0aPA0x1V,Touch Back Down,Ocean Alley,53,2021-11-16,0.514,0.792,5,-5.043,1,0.0403,0.000173,0.146,0.297,101.815,256620,4
25,3GEcWJB535LBfwF1lyWGAD,Weirdo,K.Flay,44,2021-11-17,0.575,0.64,6,-6.061,1,0.00831,0.00173,0.161,0.565,93.991,225034,4
26,0unG2KHY0VgZOkPA07Ac8m,California - Edit,DC Gore,22,2021-11-15,0.57,0.873,2,-9.206,1,0.123,0.299,0.296,0.304,119.16,202243,4
27,4mCghjXDxBNtjnShw5PlGp,CALAIS,RUHMER,19,2021-11-19,0.791,0.457,0,-10.179,1,0.144,0.000745,0.103,0.617,106.971,210475,4
28,2jneXZvpemV2sQzcsKa6Jb,Growing Up,Alex the Astronaut,27,2021-11-18,0.218,0.476,11,-9.545,1,0.4,0.000143,0.111,0.038,91.902,290467,4
29,3zE4Mcfni7sNMvRRrIyJzo,WTLUN,Cal in Red,20,2021-11-17,0.584,0.592,11,-7.76,0,0.386,0.121,0.113,0.398,110.064,245091,4
30,44RsKGDmlPsKp7On9eTV1R,Once Twice Melody,Beach House,64,2021-11-10,0.353,0.73,7,-11.021,0,0.39,0.863,0.136,0.427,168.234,284907,4
31,661gsg4lHFXpeOGA6SUHNu,If I Don’t Hear From You Tonight,Courtney Barnett,37,2021-11-10,0.691,0.653,7,-7.708,1,0.0506,0.000483,0.349,0.713,115.978,217858,4
32,1wAPbQ5XjbZqPl0WDl5mHH,Tainted Love,Milky Chance,66,2021-11-03,0.843,0.335,9,-11.537,0,0.539,0.373,0.147,0.408,113.979,179474,4
33,4CIg7jjILl4pv8e6snPpkp,Shooting Stars,Woolfy,36,2021-11-10,0.577,0.681,9,-7.797,1,0.0894,0.036,0.0794,0.467,111.813,278283,4
34,3I0tHrNEcZeCvbXgaAkfX0,Brother,RIVER,29,2021-11-12,0.522,0.736,4,-7.501,1,0.356,0.0312,0.155,0.534,169.985,187317,4
35,4MDDOpA7BwGDjYclTmCTVw,Wake Me Up,Foals,67,2021-11-04,0.65,0.94,0,-4.152,1,0.00355,0.00376,0.0489,0.647,120.027,264199,4
36,6y6bUurXB0FfhddEU5Qch0,The Only Heartbreaker,Mitski,71,2021-11-09,0.477,0.747,11,-7.188,1,0.00437,0.011,0.158,0.578,150.997,184549,4
37,5XUmyG1dSbD4mxWd0iSVXZ,Salt Lake City,Matt Maltese,51,2021-11-12,0.548,0.359,7,-10.868,1,0.245,2.39e-06,0.122,0.317,72.021,232093,4
38,4k3Fa19nJi0YPXuiUtZkOp,Ich Muss Gar Nichts,Antje Schomaker,47,2021-11-12,0.694,0.673,2,-5.185,1,0.00897,0.00023,0.298,0.483,176.039,186358,4
39,0tvJnQb8U0Q6FUuJNpqNt8,Get Better,alt-J,45,2021-11-05,0.579,0.116,2,-19.506,1,0.869,0.00457,0.065,0.466,105.322,351293,4
40,0TfwwfjF87ZLBOKlEzqSG6,The Current,Mogli,46,2021-11-11,0.689,0.481,0,-8.088,1,0.673,0.0202,0.0995,0.395,92.001,207291,4
41,5TmCgmEA29vFEhTXHVV1j2,Be Sarcastic,Shybits,31,2021-11-10,0.466,0.844,2,-6.38,1,0.00499,0.0233,0.0562,0.636,163.03,111220,4
42,4Cd9G1mXncStGszxzY6tsH,judith,The Gardener & The Tree,41,2021-11-12,0.576,0.573,7,-7.755,1,0.498,0.000138,0.365,0.379,128.268,221773,4
43,3RZauEkvORMeP06npyaIYa,Famous,Parcels,62,2021-11-05,0.659,0.819,2,-7.596,0,0.0476,0.0289,0.0819,0.878,124.75,289653,4
44,67Bn4Mb7cgdRdmwBW1PYms,U&ME,alt-J,50,2021-09-24,0.587,0.718,7,-8.369,1,0.132,0.00308,0.134,0.332,82.008,198840,4
45,4GFhG42qSgmT2kdjXBzpBf,If I Ever Feel Better,Taylor Janzen,29,2021-11-05,0.715,0.208,4,-10.132,1,0.898,0.0,0.0907,0.496,105.076,178413,4
46,2fq4SiCvhv8NrLnxeNa8l9,Phantom,Of Monsters and Men,58,2021-10-29,0.402,0.221,6,-17.58,1,0.849,0.000228,0.107,0.247,78.539,282440,4
47,6fFV8yGBRnXRYkXDzXLgQG,Where Do You Go,Day Wave,50,2021-11-09,0.589,0.879,8,-5.316,1,0.102,0.00518,0.0505,0.871,160.013,202310,4
48,0txE6b0uVS58r5Ts1KrBGW,See You Shout,Kraków Loves Adana,36,2021-11-12,0.57,0.423,0,-7.81,1,0.00407,0.557,0.136,0.313,139.986,233221,4
49,01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Phoebe Bridgers,85,2021-11-12,0.606,0.377,0,-9.455,1,0.817,0.0,0.154,0.446,101.96,258813,4
50,3wTOyevE5PUbQxgzF92Dj1,Shiny Things,Kat Frankie,39,2021-11-05,0.427,0.506,4,-9.587,0,0.501,0.00338,0.103,0.208,85.011,227624,4
51,3jfYDfrnp0dseGWZfa3jqt,Alaska,Pinegrove,56,2021-11-11,0.498,0.702,8,-6.741,1,0.00744,7.17e-05,0.112,0.404,104.969,125830,4
52,7IrNe32cCNAFlnOvi3cxvt,Futurama,Novaa,44,2021-11-05,0.781,0.422,0,-10.578,1,0.778,4.51e-05,0.159,0.66,80.002,178403,4
53,3BiTSDAHDZeQSJEwM9EprI,Impatience,Bayuk,46,2021-10-22,0.797,0.529,2,-12.402,1,0.759,0.908,0.106,0.829,140.022,154500,4
54,5F16DqcQbTuBTpzKjt5LCO,Fisher Island Sound,Beirut,62,2021-10-20,0.561,0.735,7,-7.752,1,0.0829,0.488,0.1,0.141,123.968,164773,4
55,6IbCvfmmICEEAyDwQ9zcbt,I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,57,2021-09-09,0.703,0.624,7,-6.228,1,0.0156,5.53e-05,0.299,0.808,131.966,195191,4
56,0psKsMzAii5N7W17QuYemi,Not.Any.More,Graham Candy,15,2021-10-22,0.952,0.538,0,-6.446,1,0.309,2.64e-05,0.206,0.862,102.016,181749,4
57,6SYem0lZiXnYpbvpFQHQYb,LSD,Jordan Nash,28,2021-11-03,0.534,0.697,1,-7.792,0,0.303,0.00325,0.348,0.412,119.951,188938,4
58,1OkW0tv1k3kNB0IXDN2oPL,3D Feelings,Alfie Templeman,59,2021-11-02,0.595,0.923,7,-4.866,1,0.00684,0.002,0.168,0.811,114.061,197812,4
59,5cZQ33YXXZgLXwc0egqPl3,MORBID FASCINATION,Blood Red Shoes,44,2021-10-28,0.53,0.848,4,-6.851,1,0.123,0.632,0.114,0.253,93.994,226622,4
60,6Pgsct6yXxEMctSyDIOsFj,Dreaming Of U,Oberhofer,42,2021-11-09,0.37,0.784,9,-6.213,0,0.222,0.000374,0.126,0.579,179.995,196520,4
61,7k6V01BcGYOdDMp0dW2wMY,tend the garden,Gang of Youths,34,2021-11-10,0.371,0.865,0,-7.997,1,0.0378,0.313,0.156,0.608,104.91,267020,4
62,62OfOhTfNtOI7WKxc08ujG,Whatever You Want,Nation of Language,43,2021-11-05,0.682,0.63,0,-7.496,1,0.0124,0.683,0.158,0.923,131.995,293978,4
63,19ZBncpk43fACvzKeqZIib,Billy Goodbye,Franz Ferdinand,58,2021-11-02,0.613,0.905,7,-4.195,1,0.00352,3.89e-06,0.0727,0.76,124.025,221124,4
64,2c0NslS6dfGp1LT1iXbqyS,Chapstick,COIN,64,2021-10-08,0.806,0.636,2,-6.281,1,0.00515,0.00053,0.109,0.783,115.03,193299,4
65,5ec2yrxKI6EhOdYS2XMbUP,Somethinggreater - Single Version,Parcels,53,2018-01-01,0.693,0.572,1,-10.491,0,0.308,0.000405,0.0736,0.867,109.816,209099,4
66,4TkGiH6W0MYjPpLgy11sP9,Maybe October,Dekker,51,2021-09-10,0.78,0.508,6,-9.689,1,0.606,1.81e-05,0.113,0.667,130.015,164196,4
67,7GUtkEVxpe062kEHr1vpgw,Destiny,Helaine Vis,36,2021-10-29,0.416,0.565,6,-8.67,0,0.0937,5.54e-06,0.112,0.234,63.224,256245,4
68,1xjNRDT0TRfJdWkkKK5xDA,Crutch,Band of Horses,61,2021-10-12,0.465,0.872,2,-5.375,1,0.0095,3.97e-05,0.1,0.816,145.491,223053,4
69,5Hc5Oj5lDQ8QQSJOY5Tsv5,As I Try Not To Fall Apart - Edit,White Lies,52,2021-09-27,0.596,0.843,7,-5.437,0,0.0562,0.00195,0.103,0.931,116.991,225293,4
70,7dg7uZIFJTZwDgTTOCM88v,How I Feel About You,Pool,39,2021-10-22,0.746,0.678,6,-9.478,0,0.0175,0.0569,0.102,0.87,133.985,240000,4
71,04IEe7T9LrB5tnrydpSHFg,A Dream I Have,Totally Enormous Extinct Dinosaurs,36,2021-10-13,0.779,0.822,11,-5.392,0,0.0133,0.863,0.406,0.329,123.018,273995,4
72,0XpjCAeOP3Tg5fRaf7IhNB,C'est Ma Vie,SPARKLING,39,2021-10-18,0.618,0.494,1,-4.237,0,0.056,0.0,0.336,0.335,129.988,205347,4
73,2zQaGCGjNaSZOIqKDU6d6V,I Was A Tunnel,Generationals,44,2021-11-02,0.557,0.934,9,-4.277,0,0.00557,0.0048,0.314,0.618,142.286,222440,4
74,6CpeA8nhcJO9zdRsrJwLE8,I Love You But I Love Me More (feat. Beach Bunny),Beach Bunny,66,2021-10-20,0.491,0.895,10,-4.823,0,0.212,0.000213,0.104,0.255,112.069,222787,4
75,4lSiDCGuP4zG8wxynVCLxZ,Way Out,Greer,35,2021-11-03,0.504,0.77,1,-5.857,0,0.0214,0.00133,0.0802,0.606,143.929,170400,4
