,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7aB9V1AfdHhdONxii7njJ9,Books From Boxes,Maximo Park,59,2007-04-01,0.611,0.568,5,-6.142,1,0.0906,0.0,0.117,0.567,95.546,208653,4
1,2vx5Dc3Zxtd5yGDlh2pAAz,Down in the Past,Mando Diao,54,2004-09-22,0.536,0.705,11,-4.241,0,0.000456,5.48e-06,0.0858,0.454,106.301,238493,4
2,3uZEZB8PQNPjohVkBGBzBM,Hi Freaks,Tocotronic,0,2002-06-10,0.506,0.683,2,-6.789,0,0.00197,0.721,0.116,0.563,78.0,375400,4
3,1pndMvq4gZwX15JftJqE1K,Dann schlägt dein Herz,Der Hund Marie,49,2005-06-27,0.589,0.779,6,-6.588,1,0.176,0.0829,0.065,0.835,179.993,122027,4
4,725l0qq1CRhQAQ6exEIDnx,Sommertag,Gisbert Zu Knyphausen,0,2008-04-25,0.404,0.717,7,-6.321,1,0.0431,1.03e-06,0.108,0.573,151.169,162920,4
5,0pXN3MXGemL7dmLuLtAk7z,Bologna,Wanda,57,2014-10-17,0.582,0.879,4,-3.6,0,0.0139,2.13e-05,0.185,0.773,114.014,214309,4
6,0G7vexduCvboPyIGjJXQIC,Wenn du tanzt,Von Wegen Lisbeth,59,2016-07-15,0.966,0.543,2,-7.47,0,0.406,0.000416,0.0782,0.704,116.019,230413,4
7,3RVupqMb1zXl8FNG9TlWBZ,Mykonos,Fleet Foxes,0,2008-01-01,0.391,0.45,11,-9.251,1,0.417,0.000335,0.14,0.344,121.946,275307,4
8,0yEhNqCwEfy8LHUmnZoHpP,Bohemian Like You,The Dandy Warhols,70,2000-01-01,0.584,0.931,9,-6.158,1,0.00315,0.772,0.133,0.694,131.275,211707,4
9,3nxgkJgilv48kDJ2PwYoFq,Jungen Mädchen,Hund am Strand,46,2005-09-30,0.558,0.684,7,-5.738,1,0.000265,0.00321,0.104,0.795,149.992,181507,4
10,1i1xWulaeqQGHdRl1kYH6d,Universal Tellerwäscher,Die Sterne,35,2005-08-29,0.599,0.767,7,-4.95,1,0.0309,4.81e-06,0.121,0.727,140.468,246573,4
11,1wZcp22XAyFnSw82R65UUB,New Estate,Giant Rooks,58,2016-12-02,0.528,0.743,6,-6.117,1,0.032,0.0,0.201,0.561,155.957,237360,4
12,6a0UK30zvyJ1B6qtan7mdd,Passenger Seat,Talking To Turtles,43,2014-08-15,0.731,0.569,6,-8.58,0,0.164,0.00577,0.0984,0.612,109.953,220000,4
13,1eKmx4rMLYQKV3NbbxeOD9,Pure Vernunft Darf Niemals Siegen,Tocotronic,0,2005-01-17,0.292,0.772,2,-6.565,1,0.000252,0.0023,0.33,0.496,82.308,260853,3
14,34UMrasAWi3VHMWpMePxGu,Little Numbers,BOY,50,2011-09-02,0.547,0.778,1,-4.839,1,0.13,0.0,0.0915,0.73,191.866,219840,4
15,5oUV6yWdDM0R9Q2CizRhIt,New Slang,The Shins,1,2001-06-19,0.669,0.389,0,-11.547,1,0.605,0.16,0.0905,0.649,130.015,231173,4
16,4K8fLzsIiIxo0xdV2esuMk,Fight the Start,Kilians,44,2007-09-07,0.5,0.863,9,-5.299,1,0.000224,8.09e-05,0.0345,0.924,159.957,180867,4
17,4hYinIaRxdaoEFSQni6K6I,Nur ein Wort,Wir Sind Helden,62,2005-01-01,0.484,0.911,11,-4.645,1,0.022,8.03e-06,0.193,0.947,184.882,236200,4
18,3RHaMwcMM8rL1pkI2DtCNC,Landungsbrücken raus,Kettcar,46,2002-10-28,0.636,0.693,0,-6.044,1,0.000471,0.0176,0.137,0.353,107.983,284560,4
19,6ebxt3Iylxe0GcEuUGlIvb,Dreaming of You,The Coral,66,2002-02-26,0.441,0.684,9,-7.495,0,0.374,0.000848,0.108,0.971,199.001,141000,4
20,7KjdcYVyhtVn06Jq9zm1gn,I Don't Care as Long as You Sing - Radio Edit,Beatsteaks,0,2004-03-01,0.555,0.859,8,-4.956,0,0.000425,0.00642,0.0806,0.562,128.943,198773,4
21,7CPiFuM7R0Os87sl3UJqPB,Smokers Outside the Hospital Doors,Editors,0,2007,0.528,0.677,7,-3.792,1,4.61e-05,0.0826,0.116,0.548,122.993,297640,4
22,4pJu6x8zGUraj83Hll3Moy,Was hat dich bloß so ruiniert,Die Sterne,49,1996-04-22,0.449,0.941,9,-7.103,0,0.0193,0.0,0.165,0.479,160.801,207373,4
23,1gzPR3VPXzIV2zl8gfg1eH,Hund,Yukno,0,2018-02-02,0.781,0.672,0,-7.385,0,0.0632,0.000525,0.137,0.462,111.997,219975,4
24,71jGGLe5VtEHjIk5dU2W3S,Red Eyes,The War On Drugs,36,2014-03-18,0.464,0.815,10,-6.371,1,0.00871,0.201,0.162,0.467,161.845,298920,4
