,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2ItPID4dgSL1t1ZbZCrg5S,Kinky Afro,Happy Mondays,54,1999-01-01,0.547,0.764,5,-12.552,1,0.000523,1.79e-05,0.285,0.722,117.722,239493,4
1,42cxPm9jgbaxIVN77XA1m6,Tender,Blur,62,1999,0.587,0.566,9,-9.932,1,0.47,0.0,0.0644,0.529,76.054,461947,4
2,5CXokdWISVHIcq4BsKwDvJ,sometimes,my bloody valentine,53,1991-11-04,0.356,0.609,7,-14.697,1,1.09e-05,0.878,0.1,0.0952,128.432,319160,4
3,4QlzkaRHtU8gAdwqjWmO8n,Friday I'm In Love,The Cure,75,1992-01-01,0.526,0.763,0,-12.663,0,0.00126,6.75e-05,0.359,0.514,136.205,215160,4
4,1vW6lAtewJNs7oezT8wDQd,Love Spreads,The Stone Roses,0,1994-12-05,0.417,0.877,2,-8.422,1,0.00258,0.00165,0.398,0.593,91.578,347093,4
5,0LEoCPq4QlV2h41Fm5ENJ3,Common People,Pulp,1,1995-10-30,0.319,0.839,0,-7.341,1,0.00596,7.99e-05,0.0764,0.538,144.938,350373,4
6,4c6vZqYHFur11FbWATIJ9P,There She Goes,The La's,69,1990,0.533,0.761,7,-10.632,1,0.013,0.829,0.207,0.917,122.777,162187,4
7,5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,The Smashing Pumpkins,76,1995,0.767,0.787,3,-9.897,1,0.0163,0.583,0.0513,0.964,126.879,266200,4
8,113VT0dXCsqDAAfe8JQ2xm,Grace,Jeff Buckley,0,1994,0.546,0.865,2,-5.704,1,0.113,3.08e-05,0.246,0.239,128.014,322147,4
9,5GPPI3rnZDptLYRN4vTUoZ,The Boy With the Arab Strap,Belle & Sebastian,58,1998-09-07,0.577,0.828,7,-9.805,1,0.358,0.013,0.0683,0.706,142.365,314067,4
10,4jLv3tDBu8ww2R07DvL12s,Man On The Moon,R.E.M.,68,1992-10-05,0.667,0.699,7,-7.574,1,0.42,0.000442,0.201,0.655,118.567,314173,4
11,3soLwFvqNYT90pZHSZhmK2,Dry The Rain (Remaster),The Beta Band,41,2018-07-27,0.593,0.693,4,-8.576,1,0.0283,0.084,0.172,0.749,150.489,363538,4
12,1pUNeXXcmAJOyK6TiVL49n,Babies,Pulp,0,1994-04-18,0.299,0.818,2,-7.942,1,0.113,2.46e-06,0.0827,0.604,156.193,244827,4
13,3PJqVKBvamWgzODoRwqZGm,Laid,James,1,1998-01-01,0.488,0.968,0,-5.705,1,0.0207,0.000124,0.148,0.584,116.223,156867,4
14,4OHVCeQYPncEwZOtNAJZZx,Beetlebum - 2012 Remaster,Blur,58,1997-02-10,0.542,0.626,0,-7.105,1,0.0789,0.000508,0.277,0.813,89.734,305213,4
15,4vb5W8R6XHysd5oKSNUx8j,Movin' on Up,Primal Scream,0,2003,0.525,0.921,5,-5.7,1,0.102,0.00111,0.07,0.493,94.274,224587,4
16,5EugXICXL06waHgP4iTI58,Mrs. Robinson - Remastered,The Lemonheads,64,1992,0.494,0.936,11,-7.195,0,0.0112,0.000693,0.276,0.834,107.543,224480,4
17,4SE81CrzH0qPA8KHqM9Syz,Just,Radiohead,0,1995-03-28,0.291,0.767,7,-6.913,0,0.000401,0.0119,0.0763,0.358,175.699,234800,4
18,5PntSbMHC1ud6Vvl8x56qd,Loser,Beck,71,1994-03-01,0.654,0.611,2,-10.45,1,0.0337,0.000178,0.405,0.786,85.387,235000,4
19,0qmCWYu7hOvriyuqXfPw7I,The Universal,Blur,55,2000-10-23,0.317,0.571,9,-7.669,1,0.158,2.95e-06,0.0848,0.234,163.036,240120,3
20,3m1JFLpKLYgMi1jf6Bu16P,Let Forever Be,The Chemical Brothers,56,1999-01-01,0.252,0.872,8,-3.752,1,0.00912,8.79e-06,0.109,0.399,126.938,236360,4
21,5ibELGcXGqX5x9TWFeNPxY,Motorcycle Emptiness,Manic Street Preachers,60,2002-10-28,0.522,0.801,4,-3.641,1,8.2e-06,0.0685,0.174,0.197,112.445,305707,4
22,3SVAN3BRByDmHOhKyIDxfC,Karma Police,Radiohead,3,1997-05-28,0.36,0.505,7,-9.129,1,0.0626,9.22e-05,0.172,0.317,74.807,264067,4
23,5bVOX6eyHsML2sB4aMlZEi,Malibu,Hole,63,1998-01-01,0.528,0.904,2,-5.854,1,0.000833,0.0,0.174,0.678,122.372,230040,4
24,11nv53N7ZnNTCgyl8yxvYd,Cannonball,The Breeders,0,1993-08-30,0.506,0.761,3,-9.765,1,0.00938,0.782,0.298,0.745,112.511,213693,4
25,5zflsn7VI8qyvzrowMoTgF,The First Of The Gang To Die,Morrissey,0,2004-01-01,0.533,0.915,11,-4.241,1,0.0117,0.0,0.122,0.813,134.297,218587,4
26,2aC8wwfrM0YeTAzzk8hxqC,Disco 2000,Pulp,66,1995-10-30,0.565,0.902,7,-7.579,0,0.0132,0.0,0.0561,0.544,133.11,273573,4
27,0303qZHRLFhKkOgO80toX9,Lazy Line Painter Jane,Monica Queen,0,2005-01-01,0.343,0.747,6,-5.73,1,0.127,9.61e-06,0.31,0.237,125.389,347733,4
