,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,16Vy8kW289mHu1AZd5m3bk,Let's See Each Other,A Place To Bury Strangers,36,2021-11-16,0.356,0.995,7,0.406,1,0.0399,0.000208,0.172,0.0795,78.051,234473,4
1,1rfPkAinCwapsCXV5KTTGq,Baby Shea,Ovlov,40,2021-11-19,0.207,0.887,2,-7.243,1,0.0205,0.0428,0.167,0.571,170.058,97544,4
2,42qUiwa3Ysi0c69ApEpDDN,All Living Hearts Betrayed,Traitrs,27,2021-11-19,0.413,0.566,10,-8.424,0,8.75e-06,0.0101,0.0954,0.446,121.954,287507,4
3,3gLfRQQ1szzFqXtF1FogRV,White Miles,Holm,22,2021-11-19,0.425,0.651,2,-7.214,1,0.000442,0.00592,0.329,0.557,147.102,164347,4
4,7crFiwZBZimXtXElRDFDrr,Restless Legs Syndrome,Deathsport,20,2021-11-19,0.523,0.524,9,-7.024,1,0.186,0.105,0.155,0.267,139.94,168293,4
5,661gsg4lHFXpeOGA6SUHNu,If I Don’t Hear From You Tonight,Courtney Barnett,37,2021-11-10,0.691,0.653,7,-7.708,1,0.0506,0.000483,0.349,0.713,115.978,217858,4
6,7z38LeAfhS1bpqJcZpPOaA,Freaks (feat. Pabst),Pabst,17,2021-06-25,0.563,0.817,8,-5.515,0,0.00872,0.0,0.0641,0.79,103.051,159358,4
7,5Yw6htG6TZtkeMo9WLI0M7,Beautiful James,Placebo,43,2021-09-16,0.408,0.891,0,-7.094,1,3.51e-05,0.000517,0.11,0.196,167.996,248543,4
8,6TktfhsvNYtSCC59zYFRU5,Shut Me Down,Soulsavers,49,2021-11-12,0.239,0.451,0,-11.069,1,0.546,0.0147,0.115,0.139,172.019,245053,4
9,15sjbU7m0VF5RJvPl8EIYp,Something = Nothing,Johnossi,38,2021-09-24,0.499,0.977,11,-3.765,1,7.65e-05,0.639,0.464,0.349,117.033,190907,4
10,6jlelDSfxfbXHcvecHirda,Go Get A Tattoo (feat. Lynks),Lynks,51,2021-08-10,0.597,0.791,1,-3.379,1,0.0109,0.0,0.0821,0.893,169.992,158547,4
11,0WnehHt11umB2k1PXFva1h,Never Got Away,Grundeis,14,2021-11-12,0.441,0.977,4,-5.434,0,0.000562,0.0634,0.214,0.24,135.768,293800,4
12,6csDLct6GVttS6iji7K9U6,Surrounded By Spies,Placebo,58,2021-11-09,0.518,0.863,5,-7.689,0,0.00201,0.534,0.232,0.394,160.036,314627,4
13,5EBQdAAyKC9ABjb8lEnels,Metal Heart,Soulsavers,48,2021-10-08,0.279,0.619,9,-8.097,0,0.097,0.000607,0.0908,0.208,128.524,286893,4
14,0uUNodDHI2A8ZlbF7sUy2c,From Deep Within,Elder,41,2021-10-22,0.156,0.52,7,-9.716,1,0.00392,0.166,0.0934,0.0564,87.284,573080,4
15,1qLE51kIiyHDW2A1XdRvcP,Blue Heaven,Andreya Casablanca,40,2021-08-02,0.33,0.546,2,-8.665,1,0.017,0.000201,0.234,0.106,155.836,257307,4
16,5n7yP1qQiXs9uCE3m1eyGB,Aye,Sam Fender,55,2021-08-20,0.587,0.823,1,-4.852,1,0.104,4.91e-05,0.0998,0.73,156.048,186773,4
17,3oFRjhJq0NU7iyygYihCug,Dunes,Paul & The Microcosm,17,2021-09-09,0.136,0.85,6,-7.484,0,0.000354,0.531,0.153,0.335,203.689,240528,4
18,3h2CkNuAKSxZXWGElwcOvH,I Don't Live Here Anymore (feat. Lucius),Lucius,62,2021-09-15,0.476,0.867,5,-3.982,1,0.00327,3.42e-06,0.0962,0.466,110.026,327547,4
19,5cZQ33YXXZgLXwc0egqPl3,MORBID FASCINATION,Blood Red Shoes,44,2021-10-28,0.53,0.848,4,-6.851,1,0.123,0.632,0.114,0.253,93.994,226622,4
20,58ZtTGuySqYHlquNK2ryyI,Vortex,Nick Cave & The Bad Seeds,45,2021-08-19,0.38,0.606,4,-8.372,0,0.0849,0.00776,0.0731,0.421,174.447,278147,4
21,1xy9jSJiYcEh0E3OnOvkPv,What We All Want,Gang Of Four,33,2021-06-04,0.884,0.496,6,-10.063,0,0.21,0.603,0.114,0.662,109.946,193808,4
22,1Bm1YppuoO7oTAJ7s0Eyma,Going Down South,The Black Keys,47,2021-05-03,0.475,0.762,11,-7.452,0,0.0018,0.0493,0.285,0.619,113.682,228973,4
23,3SuXoYzOjFfx5J3g033EUB,Der Rhythmus der Maschinen,Blixa Bargeld,27,2021-09-21,0.534,0.758,11,-11.096,1,0.0164,0.745,0.329,0.402,96.02,234173,4
24,0Uh9ks0HAyQRIPG4hJFncV,Hero,Alice Merton,45,2021-09-10,0.785,0.618,0,-6.403,1,0.0126,0.000407,0.0656,0.677,120.049,148000,4
25,5WZGUtMLcqOMPem9J7PzVs,Change,The War On Drugs,59,2021-10-26,0.605,0.731,10,-6.938,1,0.00391,0.25,0.368,0.638,123.986,364333,4
26,2a4K3mAOcvFuVSaKqkQA4I,Long Way Off,Sam Fender,64,2021-10-08,0.45,0.817,8,-4.13,0,0.012,0.0,0.382,0.735,163.977,229693,4
27,3MP9eJFdVgsU2wTbUQwQLP,Hands on the Sky,Worries And Other Plants,22,2021-10-22,0.611,0.441,0,-9.502,1,0.533,0.278,0.128,0.867,82.491,242591,4
