,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2JO3HwMRPeya8bXbtbyPcf,Love Will Tear Us Apart,Joy Division,67,2008-03-20,0.443,0.956,2,-6.198,1,5.24e-05,0.825,0.135,0.909,146.754,206867,4
1,3ePwkVyUDNo4UnITQWZcRS,Spellbound,Siouxsie and the Banshees,0,1981,0.415,0.853,7,-11.098,1,0.0107,0.000499,0.536,0.302,148.494,197013,4
2,1YrnDTqvcnUKxAIeXyaEmU,How Soon Is Now? - 2011 Remaster,The Smiths,70,1984,0.398,0.93,11,-6.76,1,0.000854,0.121,0.0874,0.725,190.818,408173,4
3,4xiyq1iRdsxuU1BPUJ490Z,Close To Me,The Cure,68,1985-08-26,0.724,0.523,11,-11.139,1,0.0745,0.703,0.0811,0.965,185.075,203267,4
4,38Ngied9rBORlAbLYNCl4k,Once in a Lifetime - 2005 Remaster,Talking Heads,69,1980-10-08,0.644,0.919,2,-6.289,1,0.181,0.134,0.622,0.871,117.459,259907,4
5,15049rGLXHwrWtE4euUb5C,The Killing Moon,Echo & the Bunnymen,62,1985-11-11,0.522,0.85,7,-4.769,1,0.132,0.0338,0.295,0.71,124.216,346280,4
6,49wHCjiu34kM3VRgumQ1tJ,Echo Beach,Martha and the Muffins,58,1980,0.54,0.746,7,-9.412,1,0.13,8.73e-06,0.0976,0.826,163.809,219867,4
7,56KqaFSGTb7ifpt16t5Y1N,Rock the Casbah - Remastered,The Clash,71,1982,0.797,0.872,9,-6.727,0,0.291,0.0,0.284,0.866,129.885,222427,4
8,2AX5E86cn9n2dgioZEjirI,Golden Brown,The Stranglers,71,1981,0.562,0.383,6,-15.474,1,0.143,0.124,0.138,0.599,93.764,206760,3
9,31alFPGPYXPTGLQfmkp8fh,Uncertain Smile,The The,52,1983-03-13,0.593,0.931,11,-5.232,0,0.0322,0.588,0.0255,0.755,142.747,411973,4
10,4vnLdmUdkOworoveEzpEST,She Sells Sanctuary,The Cult,1,2000-06-05,0.55,0.765,7,-8.684,1,4.82e-06,0.873,0.132,0.417,139.453,252533,4
11,7LyIoUsiMtelB1I0I4drEF,Modern Love - 1999 Remaster,David Bowie,0,1983-04-14,0.315,0.889,0,-8.192,1,0.000376,0.00241,0.133,0.961,181.329,288467,4
12,0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,73,1986-06-16,0.523,0.769,4,-5.855,1,0.04,0.0,0.136,0.876,136.162,244587,4
13,0T6kwiueP62ten2KLLmQS4,A Forest,The Cure,0,1980-04-18,0.579,0.622,0,-11.285,1,0.365,0.652,0.0955,0.435,163.107,354290,4
14,1LwP9g1Hjbs64jXM2Qsxry,Just Like Honey,The Jesus and Mary Chain,63,1985-11-18,0.341,0.552,8,-10.503,1,8.02e-05,0.616,0.0591,0.486,121.361,182493,4
15,4CWgqHRJjDLd2PCedMz8eY,Waterfall - Remastered,The Stone Roses,62,1989-05-02,0.491,0.686,11,-8.22,1,0.0236,0.263,0.451,0.437,103.715,278827,4
16,0fW13W2PZe6zq87vqUBR66,Mad World,Tears For Fears,0,1983-03-07,0.646,0.902,4,-5.997,1,0.0662,0.0285,0.0621,0.936,118.721,215400,4
17,4YMjssjl6JWPF4ZIcvcwkg,Are 'Friends' Electric?,Tubeway Army,0,1979,0.423,0.748,5,-9.832,1,0.03,0.221,0.169,0.428,93.977,325200,4
18,0egYMfS7hjEneR86a9K61w,Everyday Is Like Sunday - 2011 Remaster,Morrissey,61,1988,0.6,0.869,0,-5.126,1,0.00345,0.441,0.311,0.56,117.064,215267,4
19,1tYeax0qrIkT2ECT3OJSNp,April Skies,The Jesus and Mary Chain,36,2018-08-07,0.554,0.636,3,-10.123,1,0.0132,0.193,0.129,0.637,118.789,240493,4
20,3W5V3fnZGcWb1EPSspF7lW,Don't Change,INXS,0,1982,0.206,0.81,9,-6.492,1,5.93e-05,0.0644,0.0855,0.155,163.552,268200,4
21,4E0LjJ2894jsfvLMQb6Ti7,I Will Follow,U2,0,1998-01-01,0.365,0.917,8,-7.316,1,0.000346,3.88e-05,0.185,0.674,155.201,218040,4
22,2vEUFrRByOKob8yqOd6LuA,Ghost Town,The Specials,62,2000-08-21,0.665,0.766,10,-9.454,0,0.0492,0.338,0.113,0.905,73.683,219307,4
23,5YB9pnmgrL03yMDXzIFnni,I Wanna Be Adored - Remastered,The Stone Roses,38,2011-10-07,0.502,0.865,4,-9.301,0,0.0134,0.236,0.149,0.569,112.578,293840,4
24,7A3rywP8wA9HbL36NMnD81,I'm In Love With A German Film Star,The Passions,48,1981-09-18,0.731,0.63,11,-8.275,1,0.206,0.106,0.11,0.361,114.313,241320,4
25,2JV6DM5CGcpThMVZtucCqC,Mirror in the Bathroom,The Beat,0,2012-06-25,0.633,0.637,7,-10.431,1,0.151,0.0278,0.035,0.941,171.853,189667,4
26,3bmdzcKPdbP32AUUF9hQUP,Eighties,Killing Joke,44,1992-01-01,0.404,0.946,2,-11.562,0,0.000217,0.00168,0.411,0.437,151.716,231133,4
27,3U0pMjPVdk5UTCghRXqEE5,"Rise - 12"" Version",Public Image Ltd.,0,2015-05-25,0.482,0.72,7,-9.684,1,0.00266,4.44e-06,0.644,0.727,84.744,365480,4
28,48cEn8VF0sDrpvjUaaCCcu,Oblivious,Aztec Camera,0,1983,0.647,0.783,6,-7.713,0,0.0404,0.124,0.0635,0.924,112.373,190773,4
29,6sX5sm1wrYYV6ooAirEXAa,Town Called Malice,The Jam,0,1982-03-12,0.542,0.91,7,-8.924,1,0.00228,0.00524,0.0695,0.775,101.774,172803,4
30,7A6Z9bZgSq8WRuoDIVNM6P,Radio Free Europe,R.E.M.,0,1983-04-12,0.36,0.861,9,-7.089,1,0.00123,0.0217,0.126,0.721,155.121,245787,4
31,0P1uVFhdZsNkMPbEgtNj5q,You'll Always Find Me In The Kitchen At Parties,Jona Lewie,0,1978,0.592,0.495,5,-10.222,1,0.592,0.0181,0.353,0.549,93.458,186627,4
32,4jhsuQCUCJKA5f0bXb6XdJ,It's My Life - 1997 Remaster,Talk Talk,70,1984,0.627,0.802,0,-8.432,1,0.197,0.784,0.404,0.867,126.283,232400,4
33,5O7RVmqK3AYoFfyeafxOqH,This Is the Day,The The,52,2001-11-22,0.56,0.875,10,-4.483,1,0.0131,0.000693,0.063,0.538,141.661,297067,4
34,1EkA7sN0hmllT9sUz7juMN,Alternative Ulster,Stiff Little Fingers,31,2018-08-07,0.6,0.925,2,-9.148,1,0.00882,0.000168,0.0691,0.382,118.181,163467,4
35,3oqJ3POeLfa2TJh6BFLhPM,Gigantic,Pixies,0,1988,0.385,0.707,7,-11.825,1,0.00225,0.418,0.0763,0.786,115.174,237707,4
36,4PXH3g9qGgMqDlC52dJw07,Blister In The Sun,Violent Femmes,0,1982,0.725,0.558,0,-8.557,1,0.318,0.0,0.0976,0.88,96.969,144947,4
37,7fRPW34qS6KkZpMY4iBrJJ,Take Me to the River,Talking Heads,33,2018-08-07,0.66,0.485,2,-8.101,1,0.242,0.0102,0.0585,0.829,99.828,302520,4
38,3JocHDZrr2rpOK0xsiZK8T,Rattlesnakes,Lloyd Cole and the Commotions,49,1984-01-01,0.457,0.884,9,-9.954,1,0.02,4.17e-05,0.09,0.682,151.747,207427,4
39,3ncm3RlvFkSevHb6sXykl9,The Chauffeur,Duran Duran,37,2018-08-07,0.695,0.658,2,-9.174,1,0.287,0.000184,0.0467,0.532,82.846,321533,4
40,1K1TFdBh7NrDyKiwiJEmsy,Pretty in Pink,The Psychedelic Furs,59,1981,0.386,0.916,2,-5.955,1,0.105,0.00991,0.325,0.775,135.642,238107,4
41,3FzKPS0oVknVlCW3PhxIHl,Debaser,Pixies,0,1989-04-17,0.487,0.885,5,-12.005,1,0.000397,0.347,0.0973,0.579,135.516,173173,4
42,3qoASpDMcnnaWxgRzvIeD5,I Will Dare,The Replacements,28,2018-08-07,0.456,0.874,7,-5.69,1,0.000841,0.0234,0.192,0.579,166.863,199773,4
43,5LHwD4Djn0iCi0Txq5aiMI,Messages,Orchestral Manoeuvres In The Dark,0,1998-01-01,0.608,0.704,1,-9.78,1,0.00779,0.0287,0.058,0.899,129.594,286867,4
44,1J29QeogPD0TRdjLfJ7lv0,I Love a Man In a Uniform,Gang Of Four,27,2018-08-07,0.772,0.435,10,-12.612,1,0.0333,0.0,0.514,0.92,112.264,247293,4
45,0kpmeoNfuZ0cys5tCEBCXZ,Happy Hour,The Housemartins,46,1988-01-01,0.535,0.858,10,-11.109,1,0.101,2.18e-06,0.141,0.926,95.792,142093,4
46,5HbCsT9WyEhnhw75QUr1A5,Theme For Great Cities,Simple Minds,48,1981-09-12,0.536,0.808,8,-13.407,1,0.0579,0.894,0.117,0.678,122.408,351867,4
47,1RSy7B2vfPi84N80QJ6frX,Blue Monday - 2016 Remaster,New Order,66,2005-09-30,0.793,0.703,0,-9.548,1,0.000726,0.88,0.075,0.856,130.27,450800,4
48,0WIbzDVEpmOyBnqqdtqIL9,Teen Age Riot (Album Version),Sonic Youth,62,1988-10-04,0.286,0.907,7,-9.67,1,0.000277,0.202,0.0837,0.746,156.395,417800,4
49,5FFowl1Ve4S5OehL6OywSg,Waiting Room,Fugazi,67,1989,0.616,0.727,1,-8.176,0,0.00401,0.86,0.157,0.54,92.259,173267,4
50,5RBPXlIiZVrr8hab7LpRJB,Love Action (I Believe In Love),The Human League,54,1981,0.702,0.588,0,-9.739,1,0.0805,0.0193,0.184,0.728,121.738,301827,4
51,4H3RNIn5KIvDbJrc4EIzvt,"Say Hello, Wave Goodbye - 7"" Single Version",Soft Cell,0,1981-12,0.191,0.525,0,-9.064,1,0.23,0.0,0.114,0.506,205.218,324000,4
52,5UrmKv9c4nau5uiW9Shz4N,The Cutter,Echo & the Bunnymen,32,2018-08-07,0.471,0.955,7,-5.219,1,0.00485,1.44e-06,0.162,0.35,139.266,232746,4
53,3ey3YMZLdl1tQjbz7EJkKG,Making Plans For Nigel,XTC,41,1986-01-01,0.637,0.689,7,-14.014,1,0.017,3.72e-05,0.0738,0.815,150.057,233800,4
54,56aPHyy70SdIBYWEdV0cEi,Kid - 2006 Remaster,Pretenders,40,1980-01-11,0.436,0.728,1,-7.299,0,0.0463,9.05e-05,0.115,0.65,137.525,186533,4
55,77HYwsktlwB37zyEH9dgYY,Play For Today,The Cure,50,1980-04-18,0.458,0.731,11,-12.049,0,0.0487,0.0215,0.116,0.784,80.425,218960,4
56,3ZWjCefMm9tfTZL5L3rNqN,E=MC2,Big Audio Dynamite,33,2011-10-07,0.739,0.865,2,-5.309,0,0.542,0.0,0.152,0.89,129.948,355173,4
57,5xZSbzCVTp0qQt2K6Dfe0V,Our Lips Are Sealed,Fun Boy Three,51,1983-02-19,0.72,0.677,0,-10.717,1,0.721,0.00379,0.18,0.867,125.579,171507,4
58,5r2z0FHOoFI06GZEVGDjzM,Tempted,Squeeze,60,1981,0.729,0.356,6,-13.743,0,0.0916,0.0905,0.052,0.392,95.026,240333,4
59,5W8K2a4nCZ8df93uJm2pjI,Spellbound,Siouxsie and the Banshees,0,2002-01-01,0.456,0.893,7,-7.124,1,0.00119,9.81e-05,0.121,0.282,148.501,197533,4
60,6QKM4Oh1qLrLisUxfnw09T,Love Plus One,Haircut 100,31,2011-10-07,0.793,0.72,0,-7.727,1,0.0514,0.26,0.0987,0.957,136.917,212440,4
61,5qUNpGMN3XRn9uqZBR9e6N,Enjoy the Silence - 2006 - Remaster,Depeche Mode,0,2006,0.659,0.75,0,-8.119,0,0.0626,7.41e-05,0.0892,0.751,112.913,258573,4
62,3KN1A4XVt5lYudW7M6gD9T,Isolation - 2007 Remaster,Joy Division,0,1980,0.544,0.783,0,-8.12,1,0.048,0.00734,0.0917,0.697,151.522,175093,4
63,56SwjvVv45XLJhScKC8IcB,Party Fears Two,The Associates,0,2000,0.548,0.874,7,-5.361,1,0.0487,0.00205,0.163,0.616,128.374,314400,4
64,4QBZTbaM3vreybFgzRO5QQ,Don't Talk to Me About Love,Altered Images,48,1983-06-13,0.63,0.552,5,-12.456,1,0.0284,0.275,0.527,0.656,122.617,291320,4
65,2GF0D3d6LKIsDnk8ufpBQa,World Shut Your Mouth,Julian Cope,46,1987,0.642,0.82,9,-6.789,0,0.0128,1.16e-06,0.299,0.782,126.25,215000,4
66,3jJm28Q9MEhnRbxk2LdfkK,Generals And Majors - 2001 Remaster,XTC,46,1980-09-12,0.61,0.895,10,-7.029,1,0.0118,3e-05,0.048,0.933,141.364,244507,4
67,2gQaQUhDCNGfBVXTvxAmXQ,Shout,Tears For Fears,71,1985-02-25,0.511,0.942,0,-10.407,1,0.174,1.87e-05,0.139,0.498,97.909,393667,4
68,7LwlTiFehCUVQQJKEUzF5Z,Pulling Mussels (From The Shell),Squeeze,0,1981-01-01,0.593,0.702,0,-12.668,1,0.002,8.38e-05,0.19,0.901,142.006,238133,4
69,31MOjWj3CT3dCQsMV2b8Wu,Blue Monday '88,New Order,65,1994-01-01,0.681,0.893,7,-8.485,1,6.47e-05,0.383,0.0626,0.951,130.475,244720,4
70,6cKYSjLBhQVFbmXmJSQOA7,"Birth, School, Work, Death",The Godfathers,31,2011-10-07,0.525,0.86,9,-6.931,1,0.000575,0.00753,0.168,0.704,120.657,247653,4
71,12EsXesqewZ7mIwWswf6tn,Wishing (If I Had a Photograph of You),A Flock Of Seagulls,28,2011-10-07,0.507,0.724,3,-6.903,0,0.0196,0.545,0.0582,0.744,120.222,330640,4
72,7BxQ40VggpGELVtK5OTlfR,Deus,The Sugarcubes,0,1998-07-14,0.627,0.576,4,-10.429,0,0.0808,1.06e-05,0.228,0.651,96.417,250533,4
73,5X7Sbugnqqm3ffA9y7b7wD,On my Radio,The Selecter,48,1997-01-01,0.783,0.706,7,-7.544,1,0.0493,0.0617,0.158,0.96,141.021,185199,4
74,1bdqvBFKJKbkZvFeF7hNQs,Pacific State - Origin Mix,808 State,0,2011-09-05,0.676,0.982,10,-6.488,0,0.0641,0.874,0.147,0.24,124.174,350560,4
