,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,93,2021-11-12,0.631,0.518,0,-8.771,1,0.274,0.0,0.088,0.205,93.023,613027,4
1,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,100,2021-10-14,0.604,0.366,5,-7.519,1,0.578,0.0,0.133,0.13,141.981,224695,4
2,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),Justin Bieber,91,2021-07-23,0.591,0.764,1,-5.484,1,0.0383,0.0,0.103,0.478,169.928,141806,4
3,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),Jack Harlow,90,2021-09-17,0.741,0.691,10,-7.395,0,0.0221,0.0,0.0476,0.892,150.087,212353,4
4,7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,PNAU,85,2021-10-22,0.795,0.8,1,-6.32,1,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4
5,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,91,2020-08-06,0.761,0.525,11,-6.9,1,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
6,50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,92,2021-10-29,0.788,0.859,2,-2.724,1,0.281,0.0,0.0424,0.822,141.02,207853,4
7,7sMBvZCSUl99bJLXZaLa0b,Smokin Out The Window,Silk Sonic,76,2021-11-11,0.627,0.618,2,-8.529,1,0.0558,0.0,0.351,0.848,82.03,197443,4
8,2B4GHvToeLTOBB4QLzW3Ni,Pepas,Farruko,84,2021-10-01,0.762,0.766,7,-3.955,1,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
9,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,88,2021-10-29,0.807,0.893,11,-3.745,0,0.0451,2.79e-05,0.366,0.537,126.011,230747,4
10,4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Taylor Swift,86,2021-11-12,0.516,0.777,1,-4.908,0,0.00108,1.62e-06,0.0761,0.408,125.047,223093,4
11,7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,92,2021-09-10,0.831,0.554,1,-9.998,0,0.161,6.12e-05,0.152,0.396,140.026,168228,4
12,3nsfB1vus2qaloUdcBZvDu,All Too Well (Taylor's Version),Taylor Swift,86,2021-11-12,0.44,0.528,0,-7.809,1,0.0171,0.00203,0.234,0.132,185.972,329160,4
13,00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),The Weeknd,91,2021-11-05,0.687,0.781,1,-4.806,1,0.0361,0.0,0.0755,0.688,97.014,193507,4
14,46HNZY1i7O6jwTA7Slo2PI,My Universe,BTS,85,2021-10-15,0.573,0.711,1,-6.268,0,0.0114,0.0,0.328,0.47,105.006,226198,4
15,6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,95,2021-06-25,0.824,0.764,5,-4.175,0,0.0888,0.00294,0.117,0.881,107.998,172627,4
16,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,League of Legends,91,2021-10-28,0.728,0.783,11,-4.424,0,0.237,0.0,0.434,0.555,77.011,173381,4
17,7qM1BWAsZMTYh4BcYLb0uQ,Already Dead,Juice WRLD,86,2021-11-12,0.74,0.501,1,-6.339,1,0.019,0.0,0.114,0.119,83.5,231011,4
18,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,94,2019-08-30,0.727,0.739,8,-3.805,1,0.365,0.00137,0.161,0.533,93.005,145800,4
19,4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,AX'EL,93,2021-09-09,0.579,0.596,8,-4.823,1,0.436,0.0938,0.0549,0.443,119.9,188369,3
20,6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),Taylor Swift,84,2021-11-12,0.584,0.557,6,-6.371,1,0.0129,0.0,0.0576,0.767,154.008,219760,4
21,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,94,2021-05-21,0.563,0.664,9,-5.044,1,0.335,0.0,0.0849,0.688,166.928,178147,4
